epoch,valid_err,test_err,train_err,cost,time_of_test,time_per_sample
1, 0.66814, 0.61640, 0.65551, 1.5999, 32.627, 0.02877
2, 0.61726, 0.56041, 0.56916, 1.3653, 30.039, 0.02649
3, 0.59071, 0.54056, 0.54023, 1.2308, 30.369, 0.02678
4, 0.58850, 0.53880, 0.51035, 1.1572, 30.098, 0.02654
5, 0.58407, 0.53042, 0.48502, 1.0989, 31.648, 0.02791
6, 0.57522, 0.52690, 0.44875, 1.0486, 32.951, 0.02906
7, 0.54867, 0.49471, 0.41226, 0.9947, 29.587, 0.02609
8, 0.43363, 0.40829, 0.38018, 0.9350, 31.227, 0.02754
9, 0.31416, 0.28483, 0.31836, 0.8725, 28.955, 0.02553
10, 0.24115, 0.18695, 0.26747, 0.8035, 29.782, 0.02626
11, 0.20354, 0.16667, 0.22386, 0.7316, 28.942, 0.02552
12, 0.19469, 0.16490, 0.17930, 0.6566, 29.143, 0.02570
13, 0.19469, 0.16226, 0.15419, 0.5880, 28.901, 0.02549
14, 0.19027, 0.16138, 0.14185, 0.5339, 30.202, 0.02663
15, 0.19027, 0.16138, 0.12673, 0.4703, 29.259, 0.02580
16, 0.19027, 0.15873, 0.11968, 0.4272, 29.384, 0.02591
17, 0.19027, 0.15785, 0.09875, 0.3764, 29.550, 0.02606
18, 0.19027, 0.15697, 0.08950, 0.3386, 29.220, 0.02577
19, 0.19027, 0.15520, 0.07922, 0.3059, 29.430, 0.02595
20, 0.18584, 0.15432, 0.07166, 0.2797, 29.280, 0.02582
21, 0.17257, 0.14638, 0.06285, 0.2536, 31.180, 0.02750
22, 0.15044, 0.12522, 0.05499, 0.2326, 28.994, 0.02557
23, 0.14159, 0.11287, 0.04794, 0.2142, 29.328, 0.02586
24, 0.12389, 0.09612, 0.04185, 0.1981, 29.460, 0.02598
25, 0.10619, 0.08730, 0.03877, 0.1832, 29.640, 0.02614
26, 0.09292, 0.08201, 0.03561, 0.1701, 29.317, 0.02585
27, 0.08850, 0.07760, 0.03539, 0.1605, 29.015, 0.02559
