,voting,test,metric,value
0,democratic,0,err,0.0381791483113069
1,democratic,0,fnr,0.0
2,democratic,0,fpr,0.17218543046357615
3,veto,0,err,0.0381791483113069
4,veto,0,fnr,0.0
5,veto,0,fpr,0.17218543046357615
6,stacked_svc,0,err,0.0381791483113069
7,stacked_svc,0,fnr,0.0
8,stacked_svc,0,fpr,0.17218543046357615
9,stacked_dtc,0,err,0.0381791483113069
10,stacked_dtc,0,fnr,0.0
11,stacked_dtc,0,fpr,0.17218543046357615
12,democratic,1,err,0.033773861967694566
13,democratic,1,fnr,0.0
14,democratic,1,fpr,0.152317880794702
15,veto,1,err,0.03524229074889868
16,veto,1,fnr,0.0
17,veto,1,fpr,0.15894039735099338
18,stacked_svc,1,err,0.033773861967694566
19,stacked_svc,1,fnr,0.0
20,stacked_svc,1,fpr,0.152317880794702
21,stacked_dtc,1,err,0.033773861967694566
22,stacked_dtc,1,fnr,0.0
23,stacked_dtc,1,fpr,0.152317880794702
24,democratic,2,err,0.0381791483113069
25,democratic,2,fnr,0.0
26,democratic,2,fpr,0.17218543046357615
27,veto,2,err,0.041116005873715125
28,veto,2,fnr,0.0
29,veto,2,fpr,0.18543046357615894
30,stacked_svc,2,err,0.0381791483113069
31,stacked_svc,2,fnr,0.0
32,stacked_svc,2,fpr,0.17218543046357615
33,stacked_dtc,2,err,0.0381791483113069
34,stacked_dtc,2,fnr,0.0
35,stacked_dtc,2,fpr,0.17218543046357615
36,democratic,3,err,0.0381791483113069
37,democratic,3,fnr,0.0
38,democratic,3,fpr,0.17218543046357615
39,veto,3,err,0.041116005873715125
40,veto,3,fnr,0.0
41,veto,3,fpr,0.18543046357615894
42,stacked_svc,3,err,0.0381791483113069
43,stacked_svc,3,fnr,0.0
44,stacked_svc,3,fpr,0.17218543046357615
45,stacked_dtc,3,err,0.0381791483113069
46,stacked_dtc,3,fnr,0.0
47,stacked_dtc,3,fpr,0.17218543046357615
48,democratic,4,err,0.020558002936857563
49,democratic,4,fnr,0.0
50,democratic,4,fpr,0.09271523178807947
51,veto,4,err,0.023494860499265784
52,veto,4,fnr,0.0
53,veto,4,fpr,0.10596026490066225
54,stacked_svc,4,err,0.020558002936857563
55,stacked_svc,4,fnr,0.0
56,stacked_svc,4,fpr,0.09271523178807947
57,stacked_dtc,4,err,0.020558002936857563
58,stacked_dtc,4,fnr,0.0
59,stacked_dtc,4,fpr,0.09271523178807947
60,democratic,5,err,0.032305433186490456
61,democratic,5,fnr,0.0
62,democratic,5,fpr,0.1456953642384106
63,veto,5,err,0.03524229074889868
64,veto,5,fnr,0.0
65,veto,5,fpr,0.15894039735099338
66,stacked_svc,5,err,0.032305433186490456
67,stacked_svc,5,fnr,0.0
68,stacked_svc,5,fpr,0.1456953642384106
69,stacked_dtc,5,err,0.032305433186490456
70,stacked_dtc,5,fnr,0.0
71,stacked_dtc,5,fpr,0.1456953642384106
72,democratic,6,err,0.024963289280469897
73,democratic,6,fnr,0.0
74,democratic,6,fpr,0.11258278145695365
75,veto,6,err,0.027900146842878122
76,veto,6,fnr,0.0
77,veto,6,fpr,0.12582781456953643
78,stacked_svc,6,err,0.024963289280469897
79,stacked_svc,6,fnr,0.0
80,stacked_svc,6,fpr,0.11258278145695365
81,stacked_dtc,6,err,0.024963289280469897
82,stacked_dtc,6,fnr,0.0
83,stacked_dtc,6,fpr,0.11258278145695365
84,democratic,7,err,0.013215859030837005
85,democratic,7,fnr,0.0037735849056603774
86,democratic,7,fpr,0.046357615894039736
87,veto,7,err,0.011747430249632892
88,veto,7,fnr,0.0
89,veto,7,fpr,0.052980132450331126
90,stacked_svc,7,err,0.011747430249632892
91,stacked_svc,7,fnr,0.0018867924528301887
92,stacked_svc,7,fpr,0.046357615894039736
93,stacked_dtc,7,err,0.013215859030837005
94,stacked_dtc,7,fnr,0.0018867924528301887
95,stacked_dtc,7,fpr,0.052980132450331126
96,democratic,8,err,0.041116005873715125
97,democratic,8,fnr,0.0
98,democratic,8,fpr,0.18543046357615894
99,veto,8,err,0.041116005873715125
100,veto,8,fnr,0.0
101,veto,8,fpr,0.18543046357615894
102,stacked_svc,8,err,0.041116005873715125
103,stacked_svc,8,fnr,0.0
104,stacked_svc,8,fpr,0.18543046357615894
105,stacked_dtc,8,err,0.041116005873715125
106,stacked_dtc,8,fnr,0.0
107,stacked_dtc,8,fpr,0.18543046357615894
108,democratic,9,err,0.03524229074889868
109,democratic,9,fnr,0.0018867924528301887
110,democratic,9,fpr,0.152317880794702
111,veto,9,err,0.03524229074889868
112,veto,9,fnr,0.0
113,veto,9,fpr,0.15894039735099338
114,stacked_svc,9,err,0.033773861967694566
115,stacked_svc,9,fnr,0.0
116,stacked_svc,9,fpr,0.152317880794702
117,stacked_dtc,9,err,0.033773861967694566
118,stacked_dtc,9,fnr,0.0
119,stacked_dtc,9,fpr,0.152317880794702
120,democratic,10,err,0.020558002936857563
121,democratic,10,fnr,0.0
122,democratic,10,fpr,0.09271523178807947
123,veto,10,err,0.024963289280469897
124,veto,10,fnr,0.0
125,veto,10,fpr,0.11258278145695365
126,stacked_svc,10,err,0.020558002936857563
127,stacked_svc,10,fnr,0.0
128,stacked_svc,10,fpr,0.09271523178807947
129,stacked_dtc,10,err,0.020558002936857563
130,stacked_dtc,10,fnr,0.0
131,stacked_dtc,10,fpr,0.09271523178807947
132,democratic,11,err,0.024963289280469897
133,democratic,11,fnr,0.0
134,democratic,11,fpr,0.11258278145695365
135,veto,11,err,0.027900146842878122
136,veto,11,fnr,0.0
137,veto,11,fpr,0.12582781456953643
138,stacked_svc,11,err,0.024963289280469897
139,stacked_svc,11,fnr,0.0
140,stacked_svc,11,fpr,0.11258278145695365
141,stacked_dtc,11,err,0.024963289280469897
142,stacked_dtc,11,fnr,0.0
143,stacked_dtc,11,fpr,0.11258278145695365
144,democratic,12,err,0.041116005873715125
145,democratic,12,fnr,0.0018867924528301887
146,democratic,12,fpr,0.17880794701986755
147,veto,12,err,0.041116005873715125
148,veto,12,fnr,0.0
149,veto,12,fpr,0.18543046357615894
150,stacked_svc,12,err,0.039647577092511016
151,stacked_svc,12,fnr,0.0
152,stacked_svc,12,fpr,0.17880794701986755
153,stacked_dtc,12,err,0.039647577092511016
154,stacked_dtc,12,fnr,0.0
155,stacked_dtc,12,fpr,0.17880794701986755
156,democratic,13,err,0.0381791483113069
157,democratic,13,fnr,0.0
158,democratic,13,fpr,0.17218543046357615
159,veto,13,err,0.039647577092511016
160,veto,13,fnr,0.0
161,veto,13,fpr,0.17880794701986755
162,stacked_svc,13,err,0.0381791483113069
163,stacked_svc,13,fnr,0.0
164,stacked_svc,13,fpr,0.17218543046357615
165,stacked_dtc,13,err,0.0381791483113069
166,stacked_dtc,13,fnr,0.0
167,stacked_dtc,13,fpr,0.17218543046357615
168,democratic,14,err,0.016152716593245228
169,democratic,14,fnr,0.0018867924528301887
170,democratic,14,fpr,0.06622516556291391
171,veto,14,err,0.014684287812041116
172,veto,14,fnr,0.0
173,veto,14,fpr,0.06622516556291391
174,stacked_svc,14,err,0.016152716593245228
175,stacked_svc,14,fnr,0.0018867924528301887
176,stacked_svc,14,fpr,0.06622516556291391
177,stacked_dtc,14,err,0.014684287812041116
178,stacked_dtc,14,fnr,0.0
179,stacked_dtc,14,fpr,0.06622516556291391
180,democratic,15,err,0.027900146842878122
181,democratic,15,fnr,0.0
182,democratic,15,fpr,0.12582781456953643
183,veto,15,err,0.030837004405286344
184,veto,15,fnr,0.0
185,veto,15,fpr,0.1390728476821192
186,stacked_svc,15,err,0.027900146842878122
187,stacked_svc,15,fnr,0.0
188,stacked_svc,15,fpr,0.12582781456953643
189,stacked_dtc,15,err,0.027900146842878122
190,stacked_dtc,15,fnr,0.0
191,stacked_dtc,15,fpr,0.12582781456953643
192,democratic,16,err,0.01762114537444934
193,democratic,16,fnr,0.0
194,democratic,16,fpr,0.07947019867549669
195,veto,16,err,0.01762114537444934
196,veto,16,fnr,0.0
197,veto,16,fpr,0.07947019867549669
198,stacked_svc,16,err,0.01762114537444934
199,stacked_svc,16,fnr,0.0
200,stacked_svc,16,fpr,0.07947019867549669
201,stacked_dtc,16,err,0.01762114537444934
202,stacked_dtc,16,fnr,0.0
203,stacked_dtc,16,fpr,0.07947019867549669
204,democratic,17,err,0.030837004405286344
205,democratic,17,fnr,0.0
206,democratic,17,fpr,0.1390728476821192
207,veto,17,err,0.030837004405286344
208,veto,17,fnr,0.0
209,veto,17,fpr,0.1390728476821192
210,stacked_svc,17,err,0.030837004405286344
211,stacked_svc,17,fnr,0.0
212,stacked_svc,17,fpr,0.1390728476821192
213,stacked_dtc,17,err,0.030837004405286344
214,stacked_dtc,17,fnr,0.0
215,stacked_dtc,17,fpr,0.1390728476821192
216,democratic,18,err,0.023494860499265784
217,democratic,18,fnr,0.0
218,democratic,18,fpr,0.10596026490066225
219,veto,18,err,0.024963289280469897
220,veto,18,fnr,0.0
221,veto,18,fpr,0.11258278145695365
222,stacked_svc,18,err,0.023494860499265784
223,stacked_svc,18,fnr,0.0
224,stacked_svc,18,fpr,0.10596026490066225
225,stacked_dtc,18,err,0.023494860499265784
226,stacked_dtc,18,fnr,0.0
227,stacked_dtc,18,fpr,0.10596026490066225
228,democratic,19,err,0.016152716593245228
229,democratic,19,fnr,0.0018867924528301887
230,democratic,19,fpr,0.06622516556291391
231,veto,19,err,0.01762114537444934
232,veto,19,fnr,0.0
233,veto,19,fpr,0.07947019867549669
234,stacked_svc,19,err,0.014684287812041116
235,stacked_svc,19,fnr,0.0
236,stacked_svc,19,fpr,0.06622516556291391
237,stacked_dtc,19,err,0.016152716593245228
238,stacked_dtc,19,fnr,0.0018867924528301887
239,stacked_dtc,19,fpr,0.06622516556291391
240,democratic,20,err,0.027900146842878122
241,democratic,20,fnr,0.0
242,democratic,20,fpr,0.12582781456953643
243,veto,20,err,0.027900146842878122
244,veto,20,fnr,0.0
245,veto,20,fpr,0.12582781456953643
246,stacked_svc,20,err,0.027900146842878122
247,stacked_svc,20,fnr,0.0
248,stacked_svc,20,fpr,0.12582781456953643
249,stacked_dtc,20,err,0.027900146842878122
250,stacked_dtc,20,fnr,0.0
251,stacked_dtc,20,fpr,0.12582781456953643
252,democratic,21,err,0.022026431718061675
253,democratic,21,fnr,0.0
254,democratic,21,fpr,0.09933774834437085
255,veto,21,err,0.022026431718061675
256,veto,21,fnr,0.0
257,veto,21,fpr,0.09933774834437085
258,stacked_svc,21,err,0.022026431718061675
259,stacked_svc,21,fnr,0.0
