,resampling,test,metric,value
0,38,0,err_bin,0.04866180048661801
1,38,0,fnr_bin,0.0
2,38,0,fpr_bin,0.24096385542168675
3,38,0,err_ens,0.017842660178426603
4,38,0,fnr_ens,0.0
5,38,0,fpr_ens,0.08835341365461848
6,41,0,err_bin,0.0364963503649635
7,41,0,fnr_bin,0.0
8,41,0,fpr_bin,0.18072289156626506
9,41,0,err_ens,0.008921330089213302
10,41,0,fnr_ens,0.0
11,41,0,fpr_ens,0.04417670682730924
12,38,1,err_bin,0.0535279805352798
13,38,1,fnr_bin,0.0
14,38,1,fpr_bin,0.26506024096385544
15,38,1,err_ens,0.0267639902676399
16,38,1,fnr_ens,0.0
17,38,1,fpr_ens,0.13253012048192772
18,41,1,err_bin,0.0575831305758313
19,41,1,fnr_bin,0.0
20,41,1,fpr_bin,0.285140562248996
21,41,1,err_ens,0.008921330089213302
22,41,1,fnr_ens,0.0
23,41,1,fpr_ens,0.04417670682730924
24,38,2,err_bin,0.0640713706407137
25,38,2,fnr_bin,0.0
26,38,2,fpr_bin,0.3172690763052209
27,38,2,err_ens,0.0170316301703163
28,38,2,fnr_ens,0.0
29,38,2,fpr_ens,0.08433734939759036
30,41,2,err_bin,0.059205190592051905
31,41,2,fnr_bin,0.0
32,41,2,fpr_bin,0.2931726907630522
33,41,2,err_ens,0.014598540145985401
34,41,2,fnr_ens,0.0
35,41,2,fpr_ens,0.07228915662650602
36,38,3,err_bin,0.04866180048661801
37,38,3,fnr_bin,0.0
38,38,3,fpr_bin,0.24096385542168675
39,38,3,err_ens,0.016220600162206
40,38,3,fnr_ens,0.0
41,38,3,fpr_ens,0.08032128514056225
42,41,3,err_bin,0.06974858069748581
43,41,3,fnr_bin,0.0
44,41,3,fpr_bin,0.3453815261044177
45,41,3,err_ens,0.012976480129764802
46,41,3,fnr_ens,0.0
47,41,3,fpr_ens,0.0642570281124498
48,38,4,err_bin,0.032441200324412
49,38,4,fnr_bin,0.0
50,38,4,fpr_bin,0.1606425702811245
51,38,4,err_ens,0.0072992700729927005
52,38,4,fnr_ens,0.0
53,38,4,fpr_ens,0.03614457831325301
54,41,4,err_bin,0.06163828061638281
55,41,4,fnr_bin,0.0
56,41,4,fpr_bin,0.30522088353413657
57,41,4,err_ens,0.012976480129764802
58,41,4,fnr_ens,0.0
59,41,4,fpr_ens,0.0642570281124498
60,38,5,err_bin,0.0494728304947283
61,38,5,fnr_bin,0.0
62,38,5,fpr_bin,0.24497991967871485
63,38,5,err_ens,0.015409570154095702
64,38,5,fnr_ens,0.0
65,38,5,fpr_ens,0.07630522088353414
66,41,5,err_bin,0.054339010543390104
67,41,5,fnr_bin,0.0
68,41,5,fpr_bin,0.26907630522088355
69,41,5,err_ens,0.023519870235198703
70,41,5,fnr_ens,0.0
71,41,5,fpr_ens,0.11646586345381527
72,38,6,err_bin,0.06163828061638281
73,38,6,fnr_bin,0.0
74,38,6,fpr_bin,0.30522088353413657
75,38,6,err_ens,0.019464720194647202
76,38,6,fnr_ens,0.0
77,38,6,fpr_ens,0.0963855421686747
78,41,6,err_bin,0.05190592051905921
79,41,6,fnr_bin,0.0
80,41,6,fpr_bin,0.2570281124497992
81,41,6,err_ens,0.010543390105433901
82,41,6,fnr_ens,0.0
83,41,6,fpr_ens,0.05220883534136546
84,38,7,err_bin,0.0494728304947283
85,38,7,fnr_bin,0.0
86,38,7,fpr_bin,0.24497991967871485
87,38,7,err_ens,0.0186536901865369
88,38,7,fnr_ens,0.0
89,38,7,fpr_ens,0.09236947791164658
90,41,7,err_bin,0.032441200324412
91,41,7,fnr_bin,0.0
92,41,7,fpr_bin,0.1606425702811245
93,41,7,err_ens,0.0056772100567721
94,41,7,fnr_ens,0.0
95,41,7,fpr_ens,0.028112449799196786
96,38,8,err_bin,0.0575831305758313
97,38,8,fnr_bin,0.0
98,38,8,fpr_bin,0.285140562248996
99,38,8,err_ens,0.0186536901865369
100,38,8,fnr_ens,0.0010162601626016261
101,38,8,fpr_ens,0.08835341365461848
102,41,8,err_bin,0.0575831305758313
103,41,8,fnr_bin,0.0
104,41,8,fpr_bin,0.285140562248996
105,41,8,err_ens,0.008921330089213302
106,41,8,fnr_ens,0.0
107,41,8,fpr_ens,0.04417670682730924
108,38,9,err_bin,0.0494728304947283
109,38,9,fnr_bin,0.0
