,resampling,test,metric,value
0,200,0,err_bin,0.026045996120809087
1,200,0,fnr_bin,0.00261437908496732
2,200,0,fpr_bin,0.03234880450070324
3,200,0,err_ens,0.0019395954558049321
4,200,0,fnr_ens,0.00261437908496732
5,200,0,fpr_ens,0.0017580872011251757
6,200,1,err_bin,0.02770850651149903
7,200,1,fnr_bin,0.0
8,200,1,fpr_bin,0.035161744022503515
9,200,1,err_ens,0.002770850651149903
10,200,1,fnr_ens,0.0
11,200,1,fpr_ens,0.0035161744022503515
12,200,2,err_bin,0.032973122748683845
13,200,2,fnr_bin,0.0
14,200,2,fpr_bin,0.04184247538677918
15,200,2,err_ens,0.0013854253255749516
16,200,2,fnr_ens,0.0
17,200,2,fpr_ens,0.0017580872011251757
18,200,3,err_bin,0.025768911055694097
19,200,3,fnr_bin,0.0
20,200,3,fpr_bin,0.03270042194092827
21,200,3,err_ens,0.0022166805209199226
22,200,3,fnr_ens,0.00130718954248366
23,200,3,fpr_ens,0.0024613220815752463
24,200,4,err_bin,0.030479357162648935
25,200,4,fnr_bin,0.0
26,200,4,fpr_bin,0.03867791842475387
27,200,4,err_ens,0.0033250207813798837
28,200,4,fnr_ens,0.0
29,200,4,fpr_ens,0.004219409282700422
30,200,5,err_bin,0.022720975339429204
31,200,5,fnr_bin,0.0
32,200,5,fpr_bin,0.028832630098452883
33,200,5,err_ens,0.0022166805209199226
34,200,5,fnr_ens,0.0
35,200,5,fpr_ens,0.0028129395218002813
36,200,6,err_bin,0.02715433638126905
37,200,6,fnr_bin,0.0
38,200,6,fpr_bin,0.034458509142053444
39,200,6,err_ens,0.0022166805209199226
40,200,6,fnr_ens,0.00130718954248366
41,200,6,fpr_ens,0.0024613220815752463
42,200,7,err_bin,0.021889720144084236
43,200,7,fnr_bin,0.00130718954248366
44,200,7,fpr_bin,0.027426160337552744
45,200,7,err_ens,0.0013854253255749516
46,200,7,fnr_ens,0.00130718954248366
47,200,7,fpr_ens,0.0014064697609001407
48,200,8,err_bin,0.025768911055694097
49,200,8,fnr_bin,0.0
50,200,8,fpr_bin,0.03270042194092827
51,200,8,err_ens,0.0036021058464948737
52,200,8,fnr_ens,0.00130718954248366
53,200,8,fpr_ens,0.004219409282700422
54,200,9,err_bin,0.02770850651149903
55,200,9,fnr_bin,0.0
56,200,9,fpr_bin,0.035161744022503515
57,200,9,err_ens,0.0011083402604599613
58,200,9,fnr_ens,0.0
59,200,9,fpr_ens,0.0014064697609001407
60,200,10,err_bin,0.02632308118592408
61,200,10,fnr_bin,0.0
62,200,10,fpr_bin,0.03340365682137834
63,200,10,err_ens,0.0024937655860349127
64,200,10,fnr_ens,0.0
65,200,10,fpr_ens,0.0031645569620253164
66,200,11,err_bin,0.03214186755333887
67,200,11,fnr_bin,0.00261437908496732
68,200,11,fpr_bin,0.04008438818565401
69,200,11,err_ens,0.0016625103906899418
70,200,11,fnr_ens,0.00261437908496732
71,200,11,fpr_ens,0.0014064697609001407
72,200,12,err_bin,0.029371016902188973
73,200,12,fnr_bin,0.0
74,200,12,fpr_bin,0.03727144866385373
75,200,12,err_ens,0.0019395954558049321
76,200,12,fnr_ens,0.0
77,200,12,fpr_ens,0.0024613220815752463
78,200,13,err_bin,0.030479357162648935
79,200,13,fnr_bin,0.0
80,200,13,fpr_bin,0.03867791842475387
81,200,13,err_ens,0.0033250207813798837
82,200,13,fnr_ens,0.00130718954248366
83,200,13,fpr_ens,0.003867791842475387
84,200,14,err_bin,0.032973122748683845
85,200,14,fnr_bin,0.0
86,200,14,fpr_bin,0.04184247538677918
87,200,14,err_ens,0.0022166805209199226
88,200,14,fnr_ens,0.0
89,200,14,fpr_ens,0.0028129395218002813
90,200,15,err_bin,0.029371016902188973
91,200,15,fnr_bin,0.0
92,200,15,fpr_bin,0.03727144866385373
93,200,15,err_ens,0.0019395954558049321
94,200,15,fnr_ens,0.0
95,200,15,fpr_ens,0.0024613220815752463
96,200,16,err_bin,0.03131061235799391
97,200,16,fnr_bin,0.0
98,200,16,fpr_bin,0.039732770745428976
99,200,16,err_ens,0.0013854253255749516
100,200,16,fnr_ens,0.0
101,200,16,fpr_ens,0.0017580872011251757
102,200,17,err_bin,0.024660570795234135
103,200,17,fnr_bin,0.00130718954248366
104,200,17,fpr_bin,0.030942334739803096
105,200,17,err_ens,0.0013854253255749516
106,200,17,fnr_ens,0.00130718954248366
107,200,17,fpr_ens,0.0014064697609001407
108,200,18,err_bin,0.02770850651149903
109,200,18,fnr_bin,0.00130718954248366
110,200,18,fpr_bin,0.03481012658227848
111,200,18,err_ens,0.0022166805209199226
112,200,18,fnr_ens,0.00130718954248366
113,200,18,fpr_ens,0.0024613220815752463
114,200,19,err_bin,0.02715433638126905
115,200,19,fnr_bin,0.0
116,200,19,fpr_bin,0.034458509142053444
117,200,19,err_ens,0.0019395954558049321
118,200,19,fnr_ens,0.0
119,200,19,fpr_ens,0.0024613220815752463
120,200,20,err_bin,0.03408146300914381
121,200,20,fnr_bin,0.00130718954248366
122,200,20,fpr_bin,0.04289732770745429
123,200,20,err_ens,0.002770850651149903
124,200,20,fnr_ens,0.00130718954248366
125,200,20,fpr_ens,0.0031645569620253164
126,200,21,err_bin,0.02687725131615406
127,200,21,fnr_bin,0.00130718954248366
128,200,21,fpr_bin,0.03375527426160337
129,200,21,err_ens,0.0024937655860349127
130,200,21,fnr_ens,0.00261437908496732
131,200,21,fpr_ens,0.0024613220815752463
132,200,22,err_bin,0.02493765586034913
133,200,22,fnr_bin,0.0
134,200,22,fpr_bin,0.03164556962025317
135,200,22,err_ens,0.003047935716264893
136,200,22,fnr_ens,0.0
137,200,22,fpr_ens,0.003867791842475387
138,200,23,err_bin,0.02022720975339429
139,200,23,fnr_bin,0.00130718954248366
140,200,23,fpr_bin,0.02531645569620253
141,200,23,err_ens,0.0011083402604599613
142,200,23,fnr_ens,0.00130718954248366
143,200,23,fpr_ens,0.0010548523206751054
144,200,24,err_bin,0.029925187032418952
145,200,24,fnr_bin,0.0
146,200,24,fpr_bin,0.0379746835443038
147,200,24,err_ens,0.0013854253255749516
148,200,24,fnr_ens,0.0
149,200,24,fpr_ens,0.0017580872011251757
150,200,25,err_bin,0.02660016625103907
151,200,25,fnr_bin,0.00261437908496732
152,200,25,fpr_bin,0.03305203938115331
153,200,25,err_ens,0.0019395954558049321
154,200,25,fnr_ens,0.00261437908496732
155,200,25,fpr_ens,0.0017580872011251757
156,200,26,err_bin,0.021058464948739263
157,200,26,fnr_bin,0.00130718954248366
158,200,26,fpr_bin,0.026371308016877638
159,200,26,err_ens,0.0011083402604599613
160,200,26,fnr_ens,0.00130718954248366
161,200,26,fpr_ens,0.0010548523206751054
162,200,27,err_bin,0.023275145469659187
163,200,27,fnr_bin,0.00130718954248366
164,200,27,fpr_bin,0.029184247538677918
165,200,27,err_ens,0.0016625103906899418
166,200,27,fnr_ens,0.00261437908496732
167,200,27,fpr_ens,0.0014064697609001407
168,200,28,err_bin,0.03020227209753394
169,200,28,fnr_bin,0.0
170,200,28,fpr_bin,0.038326300984528834
171,200,28,err_ens,0.0011083402604599613
172,200,28,fnr_ens,0.0
173,200,28,fpr_ens,0.0014064697609001407
174,200,29,err_bin,0.024383485730119146
175,200,29,fnr_bin,0.0
176,200,29,fpr_bin,0.030942334739803096
177,200,29,err_ens,0.0016625103906899418
178,200,29,fnr_ens,0.0
179,200,29,fpr_ens,0.002109704641350211
180,200,30,err_bin,0.02632308118592408
181,200,30,fnr_bin,0.0
182,200,30,fpr_bin,0.03340365682137834
183,200,30,err_ens,0.0013854253255749516
184,200,30,fnr_ens,0.0
185,200,30,fpr_ens,0.0017580872011251757
186,200,31,err_bin,0.03768356885563868
187,200,31,fnr_bin,0.0
188,200,31,fpr_bin,0.04781997187060478
189,200,31,err_ens,0.0011083402604599613
190,200,31,fnr_ens,0.00130718954248366
191,200,31,fpr_ens,0.0010548523206751054
192,200,32,err_bin,0.022998060404544194
193,200,32,fnr_bin,0.0
194,200,32,fpr_bin,0.029184247538677918
195,200,32,err_ens,0.002770850651149903
